YEAR,TREAT,RIPE.BUD
1,0,0.2
1,0,0.11
1,1,0.42
1,1,0.61
1,0,1.89
1,0,1.78
1,1,1.64
1,1,1.74
1,0,0.24
1,0,0.13
1,1,0.43
1,1,NA
1,0,1.38
1,0,1.28
1,1,1.57
1,1,2.17
1,0,2.35
1,0,2.26
1,1,2.51
1,1,2.63
1,0,2.16
1,0,1.78
1,1,2.38
1,1,2.14
1,0,1.89
1,0,2.17
1,1,1.78
1,1,2.25
1,0,2.52
1,0,2.08
1,1,3.28
1,1,2.46
1,0,2.64
1,0,2.46
1,1,3.73
1,1,3.48
1,0,0.57
1,0,0.88
1,1,1
1,1,0.9
1,0,2.42
1,0,2
1,1,3.17
1,1,2
1,0,1.78
1,0,1.63
1,1,2.27
1,1,2.31
1,0,1.5
1,0,0.43
1,1,1
1,1,1.17
1,0,2.58
1,0,1.27
1,1,2.69
1,1,2.15
1,0,2.44
1,0,2.45
1,1,2.59
1,1,2.38
2,0,2.93
2,0,2.56
2,1,3.18
2,1,3.47
2,0,1.38
2,0,1.72
2,1,1.51
2,1,2
2,0,2.39
2,0,1.74
2,1,2.83
2,1,2.55
2,0,2.39
2,0,2
2,1,1.88
2,1,2.07
2,0,2.79
2,0,3.25
2,1,3.51
2,1,2.53
2,0,3.4
2,0,2.29
2,1,2.84
2,1,2.15
2,0,2.76
2,0,2.97
2,1,1.83
2,1,2.62
2,0,2.62
2,0,2.32
2,1,2.79
2,1,2.51
2,0,2.77
2,0,3.04
2,1,1.52
2,1,3.33
2,0,2.83
2,0,2.49
2,1,1.68
2,1,2.23
2,0,2.43
2,0,2.49
2,1,2.18
2,1,3.89
2,0,2.25
2,0,2.02
2,1,2.27
2,1,1.74
2,0,2.68
2,0,2.71
2,1,2.43
2,1,2.57
2,0,2.11
2,0,1.98
2,1,2.46
2,1,2.11
2,0,1.63
2,0,1.81
2,1,2.05
2,1,1.91
2,0,1.54
2,0,1.63
2,1,2.19
2,1,1.43
2,0,2.6
2,0,2.54
2,1,3.15
2,1,2.65
2,0,1.95
2,0,2.04
2,1,1.31
2,1,2.17
2,0,1.69
2,0,1.27
2,1,2.25
2,1,2.25
2,0,2.48
2,0,2.19
2,1,3.19
2,1,3.17
2,0,2.18
2,0,2.05
2,1,2.77
2,1,2.06
2,0,1.83
2,0,1.86
2,1,1.57
2,1,1.54
3,0,0.77
3,0,0.99
3,1,0.73
3,1,1
3,0,2.25
3,0,2.14
3,1,2.07
3,1,1.86
3,0,1.59
3,0,1.58
3,1,1.21
3,1,1.55
3,0,2.46
3,0,2.15
3,1,2.89
3,1,2.4
3,0,1.65
3,0,1.76
3,1,2.55
3,1,2.15
3,0,1.23
3,0,1.16
3,1,1.11
3,1,1.67
3,0,2.06
3,0,1.79
3,1,1.64
3,1,1.82
3,0,1.94
3,0,2.42
3,1,2.58
3,1,2.94
3,0,1.06
3,0,1.4
3,1,0.94
3,1,1.32
3,0,2.73
3,0,2.38
3,1,2.08
3,1,3.35
3,0,2.2
3,0,1.73
3,1,2.14
3,1,1.62
